Titre,top_fnac_1,top_fnac_2_plus,top_babelio,classement_babelio,Catégorie,top_livraddict,Année,Prix,prix_19_23,type_de_document,Nb_réservations_bibli,Classement_bibliothèque,Top_bibliothèque,Auteur,in_youtube,nb_youtube
(très) cher cinéma français,0.0,0.0,0.0,,,0.0,2019.0,Prix Renaudot essai,1.0,,,,0.0,Éric Neuhoff,0,0
555,0.0,0.0,0.0,,,0.0,2022.0,Grand prix RTL-Lire,1.0,,,,0.0,Hélène Gestern,1,127
adieu birkenau,1.0,0.0,0.0,,Bd,1.0,,,0.0,,,,0.0,Ginette Kolinka,0,0
adieu tanger,0.0,0.0,0.0,,,0.0,2023.0,Prix France Culture-Télérama,1.0,,,,0.0,Salma El Moumni,0,0
adios cow boy,0.0,0.0,0.0,,,0.0,2020.0,Prix du premier roman,1.0,,,,0.0,Olja Savičević Ivančević,0,0
anatèm,0.0,0.0,0.0,,,0.0,2019.0,Jacques Collin,1.0,,,,0.0,Neal Stephenson,0,0
apeirogon,0.0,0.0,0.0,,,0.0,2021.0,Grand prix des lectrices de Elle,1.0,,,,0.0,Colum McCann,0,0
arcadie,0.0,0.0,0.0,,,0.0,2019.0,Prix du Livre Inter,1.0,,,,0.0,Emmanuelle Bayamack-Tam,0,0
argonne,0.0,0.0,0.0,,,0.0,2022.0,Prix Terre de France - Ouest-France,1.0,,,,0.0,Stéphane Emond ,1,1
"astérix, hors collection : l’empire du milieu",1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,"Fabrice Tarrin, Olivier Gay",0,0
"astérix, tome 40 : l’iris blanc",1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,"Didier Conrad, Fabcaro",0,0
attaque au clair de lune,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,196.0,14.0,1.0,"Oda,  Eiichiro",0,0
attaquer la terre et le soleil,0.0,0.0,0.0,,,0.0,2022.0,Prix littéraire du Monde,1.0,,,,0.0,Mathieu Belezi,0,0
au bout de la nuit,0.0,0.0,0.0,,,0.0,2019.0,Grand prix Roman de l'été de Femme Actuelle,1.0,,,,0.0,Bruno Bouzounie,0,0
au cœur d'un été tout en or,0.0,0.0,0.0,,,0.0,2020.0,Prix Goncourt de la nouvelle,1.0,,,,0.0,Anne Serre,0,0
au pays des contes défaits,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,134.0,21.0,1.0,Mr Tan,0,0
au vent mauvais,0.0,0.0,0.0,,,0.0,2022.0,Prix France Culture-Télérama,1.0,,,,0.0,Kaouther Adimi,0,0
"avant blake et mortimer, tome 2 : la flèche ardente",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Van Hamme, Cailleaux , Schréder",0,0
avant la longue flamme rouge,0.0,0.0,0.0,,,0.0,2020.0,Prix Orange du Livre,1.0,,,,0.0,Guillaume Sire,0,0
avant que j'oublie,0.0,0.0,0.0,,,0.0,2020.0,Prix du Livre Inter,1.0,,,,0.0,Anne Pauly,1,1
avant que le monde ne se ferme,0.0,0.0,0.0,,,0.0,2021.0,Prix Première Plume,1.0,,,,0.0,Alain Mascaro,0,0
babel,0.0,0.0,0.0,,Fantasy,1.0,,,0.0,,,,0.0,R. F. Kuang,1,1
"bellatrix, tome 1",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Léo,0,0
"bergères guerrières, tome 3",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,82.0,47.0,1.0,"Garnier,  Jonathan",0,0
betty,0.0,0.0,0.0,,,0.0,2020.0,Prix du roman Fnac,1.0,,,,0.0,Arnaldur Indridason,0,0
beyond the story : 10 ans de souvenirs de bts,0.0,0.0,0.0,,Histoire vraie,1.0,,,0.0,,,,0.0,Myeongseok Kang et  BTS,0,0
"beyond the story, 10 ans de souvenirs de bts",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Bangtang Boys,0,0
beyrouth-sur-seine,0.0,0.0,0.0,,,0.0,2022.0,Prix Goncourt des lycéens,1.0,,,,0.0,Sabyl Ghoussoub,0,0
"blacksad, tome 7 : alors, tout tombe (seconde partie)",1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,"Juan Diaz Canalès, Juanjo Guarnido",0,0
blake & mortimer : l’art de la guerre,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Floc’h, Jean-Luc Fromental, José-Luis Bocquet",0,0
"bleak,3 histoires d’horreur,volume 2",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Squeezie,0,0
blizzard,0.0,0.0,0.0,,,0.0,2022.0,Prix des libraires,1.0,,,,0.0,Marie Vingtras,1,2
"blue lock, tome 1",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,64.0,77.0,1.0,"Kaneshiro,  Muneyuki",0,0
bluebird,0.0,0.0,0.0,,Sf,1.0,,,0.0,,,,0.0,Ciel Pierlot,0,0
bonnet d'âne !,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,71.0,57.0,1.0,"Beaton,  M.C.",0,0
"brumes, tome 1 : la brume et les larmes",0.0,0.0,0.0,,Romantasy,1.0,,,0.0,,,,0.0,Laura Collins,0,0
c'est comme ça que je disparais,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,70.0,59.0,1.0,"Malle,  Mirion",0,0
"captive, tome 1",1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,Sarah Rivens,0,0
"captive, tome 1.5 : perfectly wrong",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Sarah Rivens,0,0
"captive, tome 2",1.0,1.0,1.0,6.0,,0.0,,,0.0,,,,0.0,Sarah Rivens,0,0
ce monde est tellement beau,0.0,0.0,0.0,,,0.0,2021.0,Prix Jean-Freustié,1.0,,,,0.0,Sébastien Lapaque,0,0
ce qu'il faut de nuit,0.0,0.0,0.0,,,0.0,2020.0,Prix Femina des lycéens,1.0,,,,0.0,Laurent Petitmangin,0,0
ce que je sais de toi,0.0,0.0,0.0,,,0.0,2023.0,Prix Femina des lycéens,1.0,,,,0.0,Éric Chacour,0,0
ceci n'est pas un fait divers,0.0,0.0,1.0,9.0,,0.0,,,0.0,,,,0.0,Philippe Besson,0,0
cent mille ans,0.0,0.0,0.0,,,0.0,2021.0,Prix Amerigo-Vespucci de la BD géographique,1.0,,,,0.0,Gaspard d’Allens,1,1
cette inconnue,0.0,0.0,0.0,,,0.0,2020.0,Prix Jean-Freustié,1.0,,,,0.0,Anne-Sophie Stefanini,0,0
chaperlipopette !,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,56.0,85.0,1.0,Mr Tan,0,0
charles de gaulle,0.0,0.0,0.0,,,0.0,2020.0,Prix Renaudot du livre de poche,1.0,,,,0.0,Éric Roussel,0,0
"chaudun, la montagne blessée",0.0,0.0,0.0,,,0.0,2021.0,Prix Amerigo-Vespucci,1.0,,,,0.0,Luc Bronner,0,0
chavirer,0.0,0.0,0.0,,,0.0,2020.0,Prix France Culture-Télérama,1.0,Livre adulte,92.0,40.0,1.0,Lola Lafon,1,1
chevalier chouette,0.0,0.0,0.0,,Albums,1.0,,,0.0,,,,0.0,Christopher Denise,0,0
chien 51,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,241.0,10.0,1.0,"Gaudé,  Laurent",0,0
chienne et louve,0.0,0.0,0.0,,,0.0,2022.0,Prix de Flore,1.0,,,,0.0,Joffrine Donnadieu,0,0
choses sérieuses,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée adulte,99.0,33.0,1.0,"Oseman,  Alice",0,0
châteaux de sable,0.0,0.0,0.0,,,0.0,2022.0,Prix de l'Académie française Maurice-Genevoix,1.0,,,,0.0,Louis-Henri de La Rochefoucauld,0,0
châteaux de sable,0.0,0.0,0.0,,,0.0,2022.0,Prix des Deux Magots,1.0,,,,0.0,Louis-Henri de La Rochefoucauld,0,0
civilizations,0.0,0.0,0.0,,,0.0,2019.0,Grand prix du roman de l'Académie française,1.0,,,,0.0,Laurent Binet,0,0
coeur du passé,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,94.0,38.0,1.0,"Sobral,  Patrick",0,0
comme un ciel en nous,0.0,0.0,0.0,,,0.0,2021.0,Prix Médicis essai,1.0,,,,0.0,Jakuta Alikavazovic,0,0
"confluence, tome 1 : ce qui naît des abysses",0.0,0.0,0.0,,Sf,1.0,,,0.0,,,,0.0,Sylvie Poulain,0,0
connaissance illimitée,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Mohamed Boclet,0,0
conte de fées,1.0,0.0,1.0,19.0,,0.0,,,0.0,,,,0.0,Stephen King,1,2
"cosmoknights, tome 1",0.0,0.0,0.0,,Comics,1.0,,,0.0,,,,0.0,Hannah Templer,0,0
"cosy christmas mystery, tome 1 : retour à st mary hill",0.0,0.0,0.0,,Cosy mystery,1.0,,,0.0,,,,0.0,Carine Pitocchi,0,0
court vêtue,0.0,0.0,0.0,,,0.0,2019.0,Prix Goncourt du premier roman,1.0,,,,0.0,Marie Gauthier,0,0
croire aux fauves,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,58.0,83.0,1.0,"Martin,  Nastassja",0,0
croix de cendre,0.0,0.0,0.0,,,0.0,2023.0,Liste Goncourt : le choix polonais,1.0,,,,0.0,Antoine Sénanque,0,0
"crook haven, tome 1 : l'école des voleurs",0.0,0.0,0.0,,Jeunesse,1.0,,,0.0,,,,0.0,J. J. Arcanjo,0,0
dans la forêt des larmes,0.0,0.0,0.0,,Contemporain,1.0,,,0.0,,,,0.0,Glendy Vanderah,0,0
dans le faisceau des vivants,0.0,0.0,0.0,,,0.0,2019.0,Prix France Télévisions,1.0,,,,0.0,Valérie Zenatti,0,0
dans les brumes de capelans,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,398.0,5.0,1.0,"Norek,  Olivier",0,0
dans mon obscurité,0.0,0.0,0.0,,Thriller,1.0,,,0.0,,,,0.0,Valentin Musso,0,0
"de gaulle, une vie. l'homme de personne (1890-1944)",0.0,0.0,0.0,,,0.0,2023.0,Prix Renaudot essai,1.0,,,,0.0,Jean-Luc Barré,0,0
de parcourir le monde et d'y rôder,0.0,0.0,0.0,,,0.0,2020.0,Prix Décembre,1.0,,,,0.0,Gregory Le Floch,0,0
de pierre et d'os,0.0,0.0,0.0,,,0.0,2019.0,Prix du roman Fnac,1.0,,,,0.0,Bérengère Cournut,0,0
"demon slayer : kimetsu no yaiba, tome 12",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,98.0,34.0,1.0,"Gotouge,  Koyoharu",0,0
dernier travail,0.0,0.0,0.0,,,0.0,2022.0,Feuille d'or de la ville de Nancy,1.0,,,,0.0,Thierry Beinstingel,0,0
dersou ouzala,0.0,0.0,0.0,,,0.0,2021.0,Prix Russophonie,1.0,,,,0.0,Yves Gauthier,0,0
des diables et des saints,0.0,0.0,0.0,,,0.0,2021.0,Grand prix RTL-Lire,1.0,,,,0.0,Jean-Baptiste Andrea,0,0
des gens comme eux,0.0,0.0,0.0,,,0.0,2020.0,Prix Eugène-Dabit du roman populiste,1.0,,,,0.0,Samira Sedira,0,0
des vivants,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,127.0,24.0,1.0,"Meltz,  Raphaël",1,4
du thé pour les fantômes,0.0,0.0,0.0,,Fantastique,1.0,,,0.0,,,,0.0,Chris Vuklisevic,0,0
déjeunons sur l'herbe,0.0,0.0,0.0,,,0.0,2022.0,Prix Renaudot essai,1.0,,,,0.0,Guillaume Durand,0,0
dérangé que je suis,0.0,0.0,0.0,,,0.0,2019.0,Prix France Télévisions,1.0,,,,0.0,Ali Zamir,0,0
elle a menti pour les ailes,0.0,0.0,0.0,,,0.0,2020.0,Prix littéraire du Monde,1.0,,,,0.0,Francesca Serra,0,0
"elles, tome 3 : plurielle(s)",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Kid Toussaint, Aveline Stokart",0,0
en éclaireur,0.0,0.0,0.0,,,0.0,2023.0,Prix Fragonard de littérature étrangère,1.0,,,,0.0,Yōko Tawada,0,0
"engélion, tome 1 : illuminer les cieux",0.0,0.0,0.0,,Young adult,1.0,,,0.0,,,,0.0,Justine Tiphagne,0,0
et la guerre est finie...,0.0,0.0,0.0,,,0.0,2021.0,Prix Goncourt de la nouvelle,1.0,,,,0.0,Shmuel T. Meyer,0,0
et toujours les forêts,0.0,0.0,0.0,,,0.0,2020.0,Prix de la Closerie des Lilas,1.0,,,,0.0,Sandrine Collette,0,0
et vous passerez comme des vents fous,0.0,0.0,0.0,,,0.0,2023.0,Prix Terre de France - Ouest-France,1.0,,,,0.0,Clara Arnaud,0,0
"et à la fin, ils meurent : la sale vérité sur les contes de fées",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,100.0,32.0,1.0,"Lubie,  Lou",0,0
etés anglais,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,170.0,15.0,1.0,"Howard,  Elizabeth Jane",0,0
eugenia,0.0,0.0,0.0,,,0.0,2019.0,Prix Anaïs-Nin,1.0,,,,0.0,Lionel Duroy,0,0
"fae de sel et de sang, tome 1 : la dernière couronne",0.0,0.0,0.0,,Romantasy,1.0,,,0.0,,,,0.0,Eulalie Lombard,0,0
faites votre glucose révolution : la formule scientifique efficace pour perdre du poids et retrouver votre énergie,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,261.0,8.0,1.0,"Inchauspé,  Jessie",0,0
fallen angel,1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,Camille Creati,0,0
fenua,0.0,0.0,0.0,,,0.0,2022.0,Prix Joseph-Kessel,1.0,,,,0.0,Patrick Deville,0,0
fils de personne,0.0,0.0,0.0,,,0.0,2023.0,Prix du Quai des Orfèvres,1.0,,,,0.0,Jean-François Pasques,0,0
fin de combat,0.0,0.0,0.0,,,0.0,2020.0,Prix Médicis essai,1.0,,,,0.0,Karl Ove Knausgård,0,0
"finlay donovan est mortelle, tome 1 : comment j’ai tué ton mari",0.0,0.0,0.0,,Cosy mystery,1.0,,,0.0,,,,0.0,Elle Cosimano,0,0
fritz,0.0,0.0,0.0,,,0.0,2020.0,Isy Ochoa,1.0,,,,0.0,Coline Pierré,1,1
game over,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,87.0,44.0,1.0,"Dequier,  Bruno",0,0
"gaston lagaffe, tome 22 : le retour de lagaffe",1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,"Delaf, Franquin",0,0
georges perec,0.0,0.0,0.0,,,0.0,2023.0,Prix Goncourt de la biographie,1.0,,,,0.0,Claude Burgelin,0,0
giono furioso,0.0,0.0,0.0,,,0.0,2019.0,Prix Femina essai,1.0,,,,0.0,Emmanuelle Lambert,0,0
happy hours,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Anna RVR,0,0
harry potter et la chambre des secrets,0.0,0.0,0.0,,,0.0,,,0.0,Livre jeunesse,74.0,52.0,1.0,"Rowling,  Joanne Kathleen",0,0
hauteclaire,0.0,0.0,0.0,,,0.0,2023.0,Grand prix Roman de l'été de Femme Actuelle,1.0,,,,0.0,Dominique Delplace,0,0
helstrid,0.0,0.0,0.0,,,0.0,2020.0,Helstrid,1.0,,,,0.0,Christian Léourier,0,0
"hirayasumi, tome 1",0.0,0.0,0.0,,Manga,1.0,,,0.0,,,,0.0,Keigo Shinzo,0,0
histoire de jérusalem,1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,"Vincent Lemire, Christophe Gaultier",0,0
histoire de se laver,0.0,0.0,0.0,,,0.0,2023.0,Prix Amerigo-Vespucci Jeunesse,1.0,,,,0.0,Ingrid Thobois,0,0
histoire du fils,0.0,0.0,0.0,,,0.0,2020.0,Prix Renaudot,1.0,,,,0.0,Marie-Hélène Lafon,0,0
hokusai et le fujisan,0.0,0.0,0.0,,,0.0,2022.0,Prix Amerigo-Vespucci Jeunesse,1.0,,,,0.0,Eva Bensard,0,0
"hugo pratt, trait pour trait",0.0,0.0,0.0,,,0.0,2020.0,Prix Goncourt de la biographie,1.0,,,,0.0,Thierry Thomas,0,0
humus,0.0,0.0,0.0,,,0.0,2023.0,Prix Interallié,1.0,,,,0.0,Gaspard Koenig,0,0
héritage,0.0,0.0,0.0,,,0.0,2021.0,Prix des libraires,1.0,,,,0.0,Miguel Bonnefoy,1,18
icebreaker,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Hannah Grace,0,0
impasse verlaine,0.0,0.0,0.0,,,0.0,2020.0,Prix littéraire ENS Paris-Saclay,1.0,,,,0.0,Dalie Farah,0,0
insolente veggie,0.0,0.0,0.0,,,0.0,2020.0,Prix Maya,1.0,,,,0.0,Rosa B.,0,0
"im not your soulmate, tome 1 : the perfect match",0.0,0.0,1.0,15.0,,0.0,,,0.0,,,,0.0,Lyla Mars,0,0
j'ai oublié,0.0,0.0,0.0,,,0.0,2019.0,Prix Médicis essai,1.0,,,,0.0,Bulle Ogier,1,22
je me souviens de falloujah,0.0,0.0,0.0,,,0.0,2023.0,Prix Amerigo-Vespucci,1.0,,,,0.0,Feurat Alani,0,0
je ne reverrai plus le monde,0.0,0.0,0.0,,,0.0,2019.0,"Prix André-Malraux, catégorie roman engagé",1.0,,,,0.0,Ahmet Altan,0,0
je suis au monde,0.0,0.0,0.0,,,0.0,2021.0,Prix Amerigo-Vespucci Jeunesse,1.0,,,,0.0,Pierre Ducrozet,0,0
je suis au-delà de la mort !,0.0,0.0,0.0,,Bd,1.0,,,0.0,,,,0.0,L'homme étoilé,0,0
jean-luc et jean-claude,0.0,0.0,0.0,,,0.0,2022.0,Prix Stanislas du premier roman,1.0,,,,0.0,Laurence Potte-Bonneville,0,0
joseph kabris ou les possibilités d'une vie,0.0,0.0,0.0,,,0.0,2020.0,Prix Femina essai,1.0,,,,0.0,Christophe Granger,0,0
"journal inquiet d'istanbul, tome 1",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,60.0,82.0,1.0,"Karabulut,  Ersin",0,0
"kaamelott, tome 10 : karadoc et l’icosaèdre",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Steven Dupré, Alexandre Astier",0,0
kilomètre zéro : le chemin du bonheur,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,68.0,64.0,1.0,"Ankaoua,  Maud",0,0
l'accident de chasse,0.0,0.0,0.0,,,0.0,2021.0,L'Accident de chasse,1.0,,,,0.0,David Carson,0,0
l'anomalie,0.0,0.0,0.0,,,0.0,2020.0,Prix Goncourt,1.0,,,,0.0,Hervé Le Tellier,0,0
"l'atelier des sorciers, tome 3",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,60.0,81.0,1.0,"Shirahama,  Kamome",0,0
l'autre moitié du monde,0.0,0.0,0.0,,,0.0,2022.0,Prix Orange du Livre,1.0,,,,0.0,Laurine Roux,0,0
l'eau qui passe,0.0,0.0,0.0,,,0.0,2019.0,Prix Jean-Freustié,1.0,,,,0.0,Frank Maubert,0,0
l'effet boule de neige,0.0,0.0,0.0,,Young adult,1.0,,,0.0,,,,0.0,Clara Héraut,0,0
l'enragé,0.0,0.0,1.0,10.0,,0.0,,,0.0,,,,0.0,Sorj Chalandon,0,0
l'escalade,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,96.0,35.0,1.0,Dugomier,1,2
l'opération dressrosa s.o.p.,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,67.0,70.0,1.0,"Oda,  Eiichiro",0,0
l'âge de détruire,0.0,0.0,0.0,,,0.0,2023.0,Prix Goncourt du premier roman,1.0,,,,0.0,Pauline Peyrade,0,0
l'étoile du soir,0.0,0.0,0.0,,Jeunesse,1.0,,,0.0,,,,0.0,Siècle Vaëlban,0,0
l'évangile selon myriam,0.0,0.0,0.0,,,0.0,2022.0,Prix Rosny aîné « Roman »,1.0,,,,0.0,Ketty Steward,0,0
la carte postale,0.0,0.0,0.0,,,0.0,2022.0,Anne Berest,1.0,,,,0.0,Anne Berest,0,0
"la chair et le feu, tome 1 : une ombre dans la braise",0.0,0.0,0.0,,Romantasy,1.0,,,0.0,,,,0.0,Jennifer L. Armentrout,0,0
la chaleur,0.0,0.0,0.0,,,0.0,2019.0,Prix Femina des lycéens,1.0,,,,0.0,Victor Jestin,1,21
la chambre du fils,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,91.0,43.0,1.0,"Horst,  Jørn Lier",0,0
"la chronique des bridgerton, tome 5 & 6",0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,81.0,48.0,1.0,"Quinn,  Julia",0,0
la clause paternelle,0.0,0.0,0.0,,,0.0,2021.0,Prix Médicis étranger,1.0,,,,0.0,Jonas Hassen Khemiri,0,0
la colère,0.0,0.0,0.0,,Thriller,1.0,,,0.0,,,,0.0,S. A. Cosby,1,34
la colère et l'envie,0.0,0.0,0.0,,,0.0,2023.0,Prix littéraire de la vocation,1.0,,,,0.0,Alice Renard,0,0
la colère et l'oubli,0.0,0.0,0.0,,,0.0,2023.0,Prix Femina essai,1.0,,,,0.0,Hugo Micheron,0,0
la comète,0.0,0.0,0.0,,Albums,1.0,,,0.0,,,,0.0,Joe Todd-Stanton,0,0
"la confrérie du sang, tome 1 : l'ombre des dieux",0.0,0.0,0.0,,Fantasy,1.0,,,0.0,,,,0.0,John Gwynne,0,0
la conjonction dorée,0.0,0.0,0.0,,,0.0,2020.0,Grand prix Roman de l'été de Femme Actuelle,1.0,,,,0.0,Benoît Sagaro,0,0
la couleur des choses,0.0,0.0,0.0,,,0.0,2023.0,Fauve d'or : prix du meilleur album,1.0,,,,0.0,Martin Panchaud,0,0
"la demoiselle et le mousquetaire, tome 1 : funestes fiançailles",0.0,0.0,0.0,,Cosy mystery,1.0,,,0.0,,,,0.0,S. D. Fischer,0,0
la diplomatie n'est pas un dîner de gala - mémoires d'un ambassadeur,0.0,0.0,0.0,,,0.0,2019.0,Prix François-Mauriac de la région Aquitaine,1.0,,,,0.0,Claude Martin,0,0
la décision,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,755.0,1.0,1.0,"Tuil,  Karine",1,17
la dépendance,0.0,0.0,0.0,,,0.0,2022.0,Prix Femina étranger,1.0,,,,0.0,Rachel Cusk,1,5
la faille,1.0,1.0,1.0,7.0,,0.0,,,0.0,,,,0.0,Franck Thilliez,1,2
