Titre,top_fnac_1,top_fnac_2_plus,top_babelio,classement_babelio,Catégorie,top_livraddict,Année,Prix,prix_19_23,type_de_document,Nb_réservations_bibli,Classement_bibliothèque,Top_bibliothèque,Auteur,in_youtube,nb_youtube
"la femme de ménage, tome 1",0.0,0.0,1.0,8.0,Thriller,1.0,,,0.0,,,,0.0,Freida McFadden,0,0
la femme en moi,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Britney Spears,0,0
la femme et l'oiseau,0.0,0.0,0.0,,,0.0,2021.0,Feuille d'or de la ville de Nancy,1.0,,,,0.0,Isabelle Sorente,0,0
la fille à la robe rayée,0.0,0.0,0.0,,Historique,1.0,,,0.0,,,,0.0,Ellie Midwood,0,0
la fin d'une ère,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,79.0,51.0,1.0,"Howard,  Elizabeth Jane",0,0
la fin des monstres : récit d'une trajectoire trans,0.0,0.0,0.0,,Histoire vraie,1.0,,,0.0,,,,0.0,Tal Madesta,0,0
"la france sous nos yeux : économie, paysages, nouveaux modes de vie",0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,239.0,11.0,1.0,"Fourquet,  Jérôme",0,0
la fée des neiges,0.0,0.0,0.0,,Manga,1.0,,,0.0,,,,0.0,Tomo Serizawa,0,0
la grande épreuve,0.0,0.0,0.0,,,0.0,2020.0,Grand prix du roman de l'Académie française,1.0,,,,0.0,Etienne de Montety,0,0
la grâce,0.0,0.0,0.0,,,0.0,2020.0,Prix de Flore,1.0,,,,0.0,Thibault de Montaigu,1,13
la joie peut-être,0.0,0.0,0.0,,,0.0,2019.0,Prix Heredia,1.0,,,,0.0,Denis Rigal,0,0
la maison,0.0,0.0,0.0,,,0.0,2019.0,Prix France Culture-Télérama,1.0,Livre adulte,61.0,79.0,1.0,Emma Becker,1,77
la mariée portait des bottes jaunes,1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,Katherine Pancol,0,0
la mer de la tranquillité,0.0,0.0,0.0,,Sf,1.0,,,0.0,,,,0.0,Emily St. John Mandel,0,0
la mort n’existe pas,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Stéphane Allix,0,0
la muse rouge,0.0,0.0,0.0,,,0.0,2022.0,Prix du Quai des Orfèvres,1.0,,,,0.0,Véronique de Haas,0,0
la mécanique du ciel,0.0,0.0,0.0,,,0.0,2020.0,Prix Heredia,1.0,,,,0.0,Charlélie Couture,0,0
"la nuit où les étoiles ses sont éteintes, tome 1",1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,"Nine Gorman, Marie Alhinho",0,0
la panthère des neiges,0.0,0.0,0.0,,,0.0,2019.0,Prix Renaudot,1.0,,,,0.0,Sylvain Tesson,0,0
la part du fils,0.0,0.0,0.0,,,0.0,2019.0,Grand prix Jean-Giono,1.0,,,,0.0,Jean-Luc Coatalem,0,0
la patience des traces,0.0,0.0,0.0,,,0.0,2022.0,Prix France Télévisions,1.0,,,,0.0,Jeanne Benameur,0,0
la petite-fille,0.0,0.0,1.0,21.0,,0.0,,,0.0,,,,0.0,Bernhard Schlink,0,0
la plus secrète mémoire des hommes,0.0,0.0,0.0,,,0.0,2021.0,Prix Goncourt,1.0,,,,0.0,Mohamed Mbougar sarr,0,0
la prochaine fois que tu mordras la poussière,1.0,1.0,1.0,20.0,,0.0,,,0.0,,,,0.0,Panayotis Pascot,0,0
la quête onirique de vellitt boe,0.0,0.0,0.0,,,0.0,2019.0,Nicolas Fructus,1.0,,,,0.0,Kij Johnson,0,0
la rafle du vel d’hiv,0.0,0.0,0.0,,,0.0,2022.0,Prix François-Mauriac de la région Aquitaine,1.0,,,,0.0,Laurent Joly,0,0
"la reine sans couronne, tome 1 : princesse déchue",0.0,0.0,0.0,,Romantasy,1.0,,,0.0,,,,0.0,L. C. Blake,0,0
la sage-femme d'auschwitz,0.0,0.0,0.0,,Historique,1.0,,,0.0,,,,0.0,Anna Stuart,0,0
la sentence,0.0,0.0,0.0,,,0.0,2023.0,Prix Femina étranger,1.0,,,,0.0,Louise Erdrich,1,5
la société protectrice des kaijus,0.0,0.0,0.0,,Sf,1.0,,,0.0,,,,0.0,John Scalzi,0,0
la taille des arbres,0.0,0.0,0.0,,,0.0,2022.0,Prix Amerigo-Vespucci,1.0,,,,0.0,Fabien Truong,0,0
la tentation,0.0,0.0,0.0,,,0.0,2019.0,Prix Médicis,1.0,,,,0.0,Luc Lang,1,8
la treizième heure,0.0,0.0,0.0,,,0.0,2022.0,Prix Médicis,1.0,,,,0.0,Emmanuelle Bayamack-Tam,0,0
la vie nouvelle,0.0,0.0,0.0,,,0.0,2023.0,Prix du premier roman,1.0,,,,0.0,Tom Crewe,1,1
la vie secrète des arbres,0.0,0.0,0.0,,Bd,1.0,,,0.0,,,,0.0,"Peter Wohlleben, Fred Bernard et Benjamin Flao",0,0
la vie solide. la charpente comme éthique du faire,0.0,0.0,0.0,,,0.0,2020.0,Prix de l'Académie française Maurice-Genevoix,1.0,,,,0.0,Arthur Lochmann,0,0
la vraie vie,0.0,0.0,0.0,,,0.0,2019.0,Grand prix des lectrices de Elle,1.0,,,,0.0,Adeline Dieudonné,1,10
la vérité sur la lumière,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,66.0,72.0,1.0,Auður Ava Ólafsdóttir,0,0
"largo winch, tome 24 : le centile d’or",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Giacometti, Francq",0,0
le bal des folles,0.0,0.0,0.0,,,0.0,2019.0,Prix Renaudot des lycéens,1.0,,,,0.0,Copi,0,0
le bon sens,0.0,0.0,0.0,,,0.0,2020.0,Prix Alexandre-Vialatte,1.0,,,,0.0,Michel Bernard,1,7
le bureau d'éclaircissement des destins,0.0,0.0,1.0,13.0,,0.0,2023.0,Grand prix RTL-Lire,1.0,,,,0.0,Gaëlle Nohant,0,0
le cercle des impunis,0.0,0.0,0.0,,,0.0,2019.0,Prix du Quai des Orfèvres,1.0,,,,0.0,Paul Merault,0,0
le clan des belen,0.0,0.0,0.0,,Fantastique,1.0,,,0.0,,,,0.0,Julia Castel,0,0
"le club des amateurs de romans policiers, tome 1 : ils étaient sept",0.0,0.0,0.0,,Cosy mystery,1.0,,,0.0,,,,0.0,Christina Larmer,0,0
le consentement,0.0,0.0,0.0,,,0.0,2020.0,Le Consentement,1.0,Livre adulte,62.0,78.0,1.0,Vanessa Springora,1,2
le coût de la vie,0.0,0.0,0.0,,,0.0,2020.0,Prix Femina étranger,1.0,,,,0.0,Deborah Levy,0,0
le culte,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Camilla Läckberg, Henrik Fexeus",1,2
le cœur ne cède pas,0.0,0.0,0.0,,,0.0,2022.0,Liste Goncourt : le choix polonais,1.0,,,,0.0,Grégoire Bouillier,0,0
le cœur synthétique,0.0,0.0,0.0,,,0.0,2020.0,Prix Médicis,1.0,,,,0.0,Chloé Delaume,0,0
le dernier des siens,0.0,0.0,0.0,,,0.0,2023.0,Prix de l'Académie française Maurice-Genevoix,1.0,,,,0.0,Sibylle Grimbert,0,0
le dernier festin des vaincus,0.0,0.0,0.0,,Policier,1.0,,,0.0,,,,0.0,Estelle Tharreau,0,0
le dernier hiver du cid,0.0,0.0,0.0,,,0.0,2020.0,Prix des Deux Magots,1.0,,,,0.0,Jérôme Garcin,0,0
le droit du sol,0.0,0.0,0.0,,,0.0,2022.0,Prix Amerigo-Vespucci de la BD géographique,1.0,,,,0.0,Étienne Davodeau,1,1
le défi de jérusalem,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Éric-Emmanuel Schmitt,0,0
le fil de nos vies brisées,0.0,0.0,0.0,,,0.0,2019.0,Prix Joseph-Kessel,1.0,,,,0.0,Cécile Hennion,0,0
le fils de l'homme,0.0,0.0,0.0,,,0.0,2021.0,Prix du roman Fnac,1.0,,,,0.0,Jean-Baptiste Del Amo,0,0
le gosse,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,225.0,12.0,1.0,"Olmi,  Véronique",1,2
le grand secours,0.0,0.0,0.0,,,0.0,2023.0,Prix Landerneau des lecteurs,1.0,,,,0.0,Thomas B. Reverdy,0,0
le jeu des tricheurs,1.0,0.0,0.0,,Romance,1.0,,,0.0,,,,0.0,Anita Rigins,0,0
le jeune acteur,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée adulte,521.0,3.0,1.0,"Sattouf,  Riad",0,0
le journal de betty swan,0.0,0.0,0.0,,,0.0,2022.0,Grand prix Roman de l'été de Femme Actuelle,1.0,,,,0.0,Cindy Valt,0,0
le laboureur et les mangeurs de vent : liberté intérieure et confortable servitude,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,91.0,42.0,1.0,"Cyrulnik,  Boris",0,0
le livre des sœurs,0.0,0.0,0.0,,,0.0,2023.0,Prix Jean-Monnet de littérature européenne du département de la Charente,1.0,,,,0.0,Amélie Nothomb,0,0
le livre du large et du long,0.0,0.0,0.0,,,0.0,2023.0,Prix Goncourt de la poésie,1.0,,,,0.0,Laura Vazquez,0,0
le lâche,0.0,0.0,0.0,,,0.0,2022.0,Prix du premier roman,1.0,,,,0.0,Jarred McGinnis,1,7
le mage du kremlin,1.0,1.0,0.0,,,0.0,2022.0,Grand prix du roman de l'Académie française,1.0,,,,0.0,Giuliano Da Empoli,0,0
"le monde sans fin, miracle énergétique et dérive climatique",1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,"Christophe Blain, Jean-Marc Jancovici",0,0
le musée des contradictions,0.0,0.0,0.0,,,0.0,2022.0,Prix Goncourt de la nouvelle,1.0,,,,0.0,Antoine Wauters,0,0
le métier de mourir,0.0,0.0,0.0,,,0.0,2020.0,Prix Renaudot des lycéens,1.0,,,,0.0,Jean-René Van der Plaetsen,0,0
"le nom de la rose, tome 1",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Milo Manara, Umberto Eco",0,0
le passeur,0.0,0.0,0.0,,,0.0,2022.0,Prix littéraire ENS Paris-Saclay,1.0,,,,0.0,Lois Lowry,0,0
le pays des autres,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,246.0,9.0,1.0,"Slimani,  Leïla",0,0
le poids des héros,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,95.0,37.0,1.0,"Sala,  David",0,0
le retournement,0.0,0.0,0.0,,,0.0,2023.0,Prix Renaudot du livre de poche,1.0,,,,0.0,Manuel Carcassonne,1,1
le rire des déesses,0.0,0.0,0.0,,,0.0,2021.0,Prix Femina des lycéens,1.0,,,,0.0,Ananda Devi,0,0
le rocher blanc,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,66.0,73.0,1.0,"Hope,  Anna",0,0
le roi maléfique,0.0,0.0,0.0,,,0.0,,,0.0,Livre ado,79.0,50.0,1.0,"Black,  Holly",0,0
le réseau jane,0.0,0.0,0.0,,Contemporain,1.0,,,0.0,,,,0.0,Heather Marshall,0,0
le silence et la colère,1.0,1.0,1.0,4.0,,0.0,,,0.0,,,,0.0,Pierre Lemaitre,0,0
le sirénien,0.0,0.0,0.0,,Young adult,1.0,,,0.0,,,,0.0,Capucine Sergent,0,0
le soldat désaccordé,0.0,0.0,0.0,,,0.0,2023.0,Prix des libraires,1.0,,,,0.0,Gilles Marchand,0,0
le suppléant,1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,Prince Harry,0,0
le temps de s'en apercevoir,0.0,0.0,0.0,,,0.0,2019.0,Prix des Deux Magots,1.0,,,,0.0,Emmanuel de Waresquiel,0,0
le testament du prophète,0.0,0.0,0.0,,,0.0,2023.0,Prix de la Closerie des Lilas,1.0,,,,0.0,Yasmine Ghata,0,0
le tiers temps,0.0,0.0,0.0,,,0.0,2020.0,Prix Goncourt du premier roman,1.0,,,,0.0,Maylis Besserie,0,0
"le trône des magiciens, tome 1 : le défi de la couronne",0.0,0.0,0.0,,Fantasy,1.0,,,0.0,,,,0.0,Jupiter Phaeton,0,0
le témoin jusqu’au bout,0.0,0.0,0.0,,,0.0,2022.0,Prix Médicis essai,1.0,,,,0.0,Georges Didi-Huberman,0,0
le veilleur du lac,0.0,0.0,0.0,,Policier,1.0,,,0.0,,,,0.0,Nicolas Leclerc,0,0
le vieil incendie,0.0,0.0,0.0,,,0.0,2023.0,Prix Fénéon,1.0,,,,0.0,Elisa Shua Dusapin,0,0
le voyage dans l'est,0.0,0.0,0.0,,,0.0,2021.0,Prix Médicis,1.0,,,,0.0,Christine Angot,0,0
le voyage de shuna,1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,Hayao Miyazaki,0,0
le voyage du canapé-lit,0.0,0.0,0.0,,,0.0,2019.0,Prix Alexandre-Vialatte,1.0,,,,0.0,Pierre Jourde,0,0
le voyant d'étampes,0.0,0.0,0.0,,,0.0,2021.0,Prix de Flore,1.0,,,,0.0,Abel Quentin,0,0
les abeilles grises,0.0,0.0,0.0,,,0.0,2022.0,Prix Médicis étranger,1.0,,,,0.0,Andreï Kourkov,0,0
les aiguilles dor,0.0,0.0,1.0,23.0,,0.0,,,0.0,,,,0.0,Michael McDowell,0,0
les armoires vides,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,144.0,20.0,1.0,"Ernaux,  Annie",0,0
"les cahiers d’esther, tome 8 : histoires de mes 17 ans",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Riad Sattouf,0,0
les choses humaines,0.0,0.0,0.0,,,0.0,2019.0,Prix Goncourt des lycéens,1.0,,,,0.0,Karine Tuil,0,0
les cicatrices de la nuit,0.0,0.0,0.0,,,0.0,2020.0,Prix du Quai des Orfèvres,1.0,,,,0.0,Alexandre Galien,0,0
les cinq,0.0,0.0,0.0,,Fantasy,1.0,,,0.0,,,,0.0,Mathieu Rochelle,1,16
"les clans du ciel, tome 1 : la quête d'ellie",0.0,0.0,0.0,,Jeunesse,1.0,,,0.0,,,,0.0,Jessica Khoury,0,0
les conditions idéales,0.0,0.0,0.0,,,0.0,2023.0,Prix Goncourt des détenus,1.0,,,,0.0,Mokhtar Amoudi,1,2
"les couronnes de nyaxia, tome 1 : le serpent et le descendant de la nuit",0.0,0.0,0.0,,Romantasy,1.0,,,0.0,,,,0.0,Carissa Broadbent,0,0
les dieux sont amour,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,74.0,53.0,1.0,"Sobral,  Patrick",0,0
les dragons,0.0,0.0,0.0,,Contemporain,1.0,,,0.0,,,,0.0,Jérôme Colin,1,3
les dévastés,0.0,0.0,0.0,,,0.0,2022.0,Prix Fragonard de littérature étrangère,1.0,,,,0.0,Théodora Dimova,0,0
les enfants endormis,0.0,0.0,0.0,,,0.0,2022.0,Prix Première Plume,1.0,,,,0.0,Anthony Passeron,0,0
"les enquêtes de milady, tome 1 : le baiser de la tulipe noire",0.0,0.0,0.0,,Cosy mystery,1.0,,,0.0,,,,0.0,Maxime Fontaine et Bertrand Puard,0,0
les enquêtes d’adamsberg : sur la dalle,1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,Fred Vargas,0,0
les envolés,0.0,0.0,0.0,,,0.0,2022.0,Prix Goncourt du premier roman,1.0,,,,0.0,Étienne Kern,0,0
les extraordinaires,0.0,0.0,0.0,,Contemporain,1.0,,,0.0,,,,0.0,Julien Sandrel,0,0
les femmes du bout du monde,1.0,0.0,1.0,1.0,,0.0,,,0.0,,,,0.0,Mélissa Da Costa,0,0
les flibustiers de la mer chimique,0.0,0.0,0.0,,,0.0,2023.0,Grand prix de l'Imaginaire,1.0,,,,0.0,Marguerite Imbert,0,0
les furtifs,0.0,0.0,0.0,,,0.0,2020.0,Grand prix de l'Imaginaire,1.0,,,,0.0,Alain Damasio,0,0
les garçons de la cité-jardin,0.0,0.0,0.0,,,0.0,2022.0,Prix Eugène-Dabit du roman populiste,1.0,,,,0.0,Dan Nisand,0,0
les gens de bilbao naissent où ils veulent,0.0,0.0,0.0,,,0.0,2022.0,Prix du premier roman,1.0,,,,0.0,Maria Larrea,0,0
les grandes oubliées : pourquoi l'histoire a effacé les femmes,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,200.0,13.0,1.0,"Lecoq,  Titiou",0,0
les grands cerfs,0.0,0.0,0.0,,,0.0,2019.0,Prix Décembre,1.0,,,,0.0,Claudie Hunzinger,0,0
les guerres de lucas,0.0,0.0,0.0,,Bd,1.0,,,0.0,,,,0.0,Renaud Roche et Laurent Hopman,0,0
les impatientes,0.0,0.0,0.0,,,0.0,2020.0,Prix Goncourt des lycéens,1.0,,,,0.0,Djaïli Amadou Amal,1,1
les insolents,0.0,0.0,0.0,,,0.0,2023.0,Prix Renaudot,1.0,,,,0.0,Ann Scott,0,0
les masques éphémères,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,132.0,22.0,1.0,"Leon,  Donna",0,0
les meurtres de molly southbourne,0.0,0.0,0.0,,,0.0,2020.0,Les Meurtres de Molly Southbourne,1.0,,,,0.0,Tade Thompson,0,0
les méduses n'ont pas d'oreilles,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,103.0,30.0,1.0,"Rosenfeld,  Adèle",0,0
les nuages de magellan,0.0,0.0,0.0,,,0.0,2019.0,Prix Rosny aîné « Roman »,1.0,,,,0.0,Estelle Faye,0,0
les passagers,0.0,0.0,0.0,,,0.0,2023.0,Prix Boccace,1.0,,,,0.0,Gilles Verdet,1,1
les patriotes,0.0,0.0,0.0,,,0.0,2019.0,Prix du premier roman,1.0,,,,0.0,Sana Krasikov,0,0
les paupières des poissons,0.0,0.0,0.0,,,0.0,2019.0,Prix Maya,1.0,,,,0.0,"Fanny Vaucher, Sébastien Moro",0,0
"les pierres du cauchemar, tome 2",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Dooms, Sora, Dreamy",0,0
les piliers de la civilisation,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée adulte,164.0,17.0,1.0,"Harari,  Yuval Noah",0,0
les possibles,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,72.0,56.0,1.0,"Grimaldi,  Virginie",1,2
les quatre accords toltèques : la voie de la liberté personnelle,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,67.0,68.0,1.0,"Ruiz,  Miguel",0,0
"les reines maudites, tome 1 : catherine d'aragon",0.0,0.0,0.0,,Historique,1.0,,,0.0,,,,0.0,Alison Weir,0,0
"les sept seurs, tome 8 : atlas, l'histoire de pa salt",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Lucinda Riley,0,0
"les sept soeurs, tome 8 : atlas, l'histoire de pa salt",0.0,0.0,1.0,12.0,,0.0,,,0.0,,,,0.0,Lucinda Riley,0,0
les silences d’ogliano,0.0,0.0,0.0,,,0.0,2022.0,Prix de la Closerie des Lilas,1.0,,,,0.0,Elena Piacentini,0,0
les temps ultramodernes,0.0,0.0,0.0,,,0.0,2023.0,Prix Rosny aîné,1.0,,,,0.0,Laurent Genefort,0,0
les têtes baissées,0.0,0.0,0.0,,,0.0,2023.0,Prix littéraire ENS Paris-Saclay,1.0,,,,0.0,François-Xavier Ménage,0,0
les villes de papier,0.0,0.0,0.0,,,0.0,2020.0,Prix Renaudot essai,1.0,,,,0.0,Dominique Fortier,0,0
les échappées,0.0,0.0,0.0,,,0.0,2019.0,Prix Wepler,1.0,,,,0.0,Lucie Taïeb,0,0
les éclats,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Bret Easton Ellis,1,2
"lies, tome 1 : only lies",0.0,0.0,0.0,,Romance,1.0,,,0.0,,,,0.0,Jeanne Pears,0,0
"lou ! sonata, tome 2",1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,"Julien Neel, Carole Neel",0,0
"lullaby of the dawn, tome 1",0.0,0.0,0.0,,Manga,1.0,,,0.0,,,,0.0,Ichika Yuno,0,0
là où sont tes racines,0.0,0.0,0.0,,Historique,1.0,,,0.0,,,,0.0,Ellen Marie Wiseman,0,0
"là-bas, août est un mois d'automne",0.0,0.0,0.0,,,0.0,2019.0,Prix François-Mauriac,1.0,,,,0.0,Bruno Pellegrino,0,0
léopold sédar senghor,0.0,0.0,0.0,,,0.0,2022.0,Prix Goncourt de la biographie,1.0,,,,0.0, Jean-Pierre Langellier,0,0
l’envol,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Aurélie Valognes,0,0
l’heure des oiseaux,0.0,0.0,0.0,,,0.0,2023.0,Prix Jean-Freustié,1.0,,,,0.0,Maud Simonnot,0,0
l’homme des mille détours,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Agnès Martin-Lugand,0,0
l’imparfait du temps passé,0.0,0.0,0.0,,,0.0,2019.0,Prix Russophonie,1.0,,,,0.0,Grisha Bruskine,0,0
l’oubli est une tache dans le ciel,0.0,0.0,0.0,,,0.0,2021.0,Prix Heredia,1.0,,,,0.0,Joël Vernet,0,0
ma vie sans gravité,1.0,0.0,0.0,,Histoire vraie,1.0,,,0.0,,,,0.0,Thomas Pesquet,0,0
madame hayat,0.0,0.0,0.0,,,0.0,2021.0,Prix Femina étranger,1.0,Livre adulte,114.0,27.0,1.0,Ahmet Altan,0,0
magma tunis,0.0,0.0,0.0,,,0.0,2019.0,Prix littéraire des Grandes Écoles,1.0,,,,0.0,Aymen Gharbi,0,0
mahmoud ou la montée des eaux,0.0,0.0,0.0,,,0.0,2022.0,Prix du Livre Inter,1.0,,,,0.0,Antoine Wauters,0,0
malgré toute ma rage,0.0,0.0,0.0,,Thriller,1.0,,,0.0,,,,0.0,Jérémy Fel,0,0
manaraga,0.0,0.0,0.0,,,0.0,2020.0,Prix Russophonie,1.0,,,,0.0,Vladimir Sorokine,0,0
"manifeste incertain, volume 7 : emily dickinson, marina tsvetaieva, l'immense poésie",0.0,0.0,0.0,,,0.0,2019.0,Prix Goncourt de la biographie,1.0,,,,0.0,Emily Dickinson,0,0
matador yankee,0.0,0.0,0.0,,,0.0,2019.0,Prix Orange du Livre,1.0,,,,0.0,Jean-Baptiste Maudet,0,0
mediator : un crime chimiquement pur,0.0,0.0,0.0,,Bd,1.0,,,0.0,,,,0.0,"Éric Giacometti, Irène Frachon et François Duprat",0,0
misericórdia,0.0,0.0,0.0,,,0.0,2023.0,Prix Médicis étranger,1.0,,,,0.0,Lidia Jorge,0,0
