Titre,top_fnac_1,top_fnac_2_plus,top_babelio,classement_babelio,Catégorie,top_livraddict,Année,Prix,prix_19_23,type_de_document,Nb_réservations_bibli,Classement_bibliothèque,Top_bibliothèque,Auteur,in_youtube,nb_youtube
miss islande,0.0,0.0,0.0,,,0.0,2019.0,Prix Médicis étranger,1.0,,,,0.0,Audur Ava Olafsdóttir,0,0
mohican,0.0,0.0,0.0,,,0.0,2021.0,Prix Terre de France,1.0,,,,0.0,Éric Fottorino,0,0
"moi, ce que j'aime, c'est les monstres",0.0,0.0,0.0,,,0.0,2019.0,Fauve d'or : prix du meilleur album,1.0,Bande dessinée adulte,92.0,39.0,1.0,Emil Ferris,0,0
"mon budget sur pilote automatique, le carnet",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Maeva Derby,0,0
mon maître et mon vainqueur,0.0,0.0,0.0,,,0.0,2021.0,Grand prix du roman de l'Académie française,1.0,,,,0.0,François-Henri Désérable,0,0
mon territoire,0.0,0.0,0.0,,,0.0,2020.0,Grand prix des lectrices (Elle),1.0,,,,0.0,Tess Sharpe,1,4
monument national,0.0,0.0,0.0,,,0.0,2022.0,Prix Jean-Freustié,1.0,,,,0.0,Julia Deck,0,0
"mortelle adèle et les reliques du chat lune, tome 4",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Mr Tan, Olivier Bonnassies",0,0
"mortelle adèle, tome 20 : j’apocalypse grave !",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Mr Tan, Diane Le Feyer",0,0
"mortelle adèle, tome 4 : v.i.b",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Mr Tan, Diane Le Feyer",0,0
mortelle adèle : le journal des bizarres,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Mr Tan, Diane Le Feyer",0,0
mourir avant que d'apparaître,0.0,0.0,0.0,,,0.0,2023.0,Prix littéraire de la Ville de Caen,1.0,,,,0.0,Rémi David,0,0
mur méditerranée,0.0,0.0,0.0,,,0.0,2019.0,Choix Goncourt de la Pologne,1.0,,,,0.0,Louis-philippe Dalembert,0,0
"my hero academia, tome 15 : lutte contre le destin",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,68.0,65.0,1.0,"Horikoshi,  K?hei",0,0
"my hero academia, tome 4 : celui qui avait tout",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,118.0,25.0,1.0,"Horikoshi,  Kohei",0,0
"my hero academia, tome 5 : shoto todoroki : les origines",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,91.0,41.0,1.0,"Horikoshi,  Kohei",0,0
"my hero academia, tome 8 : momo yaoyorozu : l'envol",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,95.0,36.0,1.0,"Horikoshi,  Kohei",0,0
my world is yours,0.0,0.0,0.0,,Romance,1.0,,,0.0,,,,0.0,Élodie François,0,0
"naruto, tome 1",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,156.0,19.0,1.0,"Kishimoto,  Masashi",0,0
"naruto, tome 12",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,101.0,31.0,1.0,"Kishimoto,  Masashi",0,0
"naruto, tome 13",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,109.0,28.0,1.0,"Kishimoto,  Masashi",0,0
"naruto, tome 21",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,66.0,74.0,1.0,"Kishimoto,  Masashi",0,0
"naruto, tome 30",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,68.0,67.0,1.0,"Kishimoto,  Masashi",0,0
nature humaine,0.0,0.0,0.0,,,0.0,2020.0,Prix Terre de France - Ouest-France,1.0,,,,0.0,Serge Joncour,1,4
"ne signe pas ça, chloé !",0.0,0.0,0.0,,,0.0,2019.0,Prix Rosny aîné « Nouvelle »,1.0,,,,0.0,Stéphane Croenne,0,0
ne t'arrête pas de courir,0.0,0.0,0.0,,,0.0,2021.0,Prix France Culture-Télérama,1.0,,,,0.0,Mathieu Palain,0,0
noa,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,158.0,18.0,1.0,"Lévy,  Marc",1,4
nos coeurs disparus,0.0,0.0,0.0,,Sf,1.0,,,0.0,,,,0.0,Celeste Ng,0,0
nous sommes à la lisière,0.0,0.0,0.0,,,0.0,2019.0,Prix Goncourt de la nouvelle,1.0,,,,0.0,Caroline Lamarche,0,0
né d'aucune femme,0.0,0.0,0.0,,,0.0,2019.0,Prix des libraires,1.0,,,,0.0,Franck Bouysse,0,0
okavango,0.0,0.0,0.0,,Policier,1.0,,,0.0,,,,0.0,Caryl Férey,0,0
on a deux yeux pour voir,0.0,0.0,0.0,,Albums,1.0,,,0.0,,,,0.0,Baptiste Beaulieu et Qin Leng,0,0
on ne meurt pas d'amour,0.0,0.0,0.0,,,0.0,2019.0,Prix du premier roman,1.0,,,,0.0,Géraldine Dalban-Moreynas,0,0
on ne touche pas,0.0,0.0,0.0,,,0.0,2020.0,Prix du premier roman,1.0,,,,0.0,Ketty Rouf,0,0
on était des loups,0.0,0.0,0.0,,,0.0,2022.0,Prix Renaudot des lycéens,1.0,,,,0.0,Sandrine Collette,0,0
"one piece, tome 55 : des travs en enfer",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,71.0,58.0,1.0,"Oda,  Eiichiro",0,0
"one piece, tome 64",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,67.0,69.0,1.0,"Oda,  Eiichiro",0,0
"one piece, tome 67 : cool fight",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,69.0,62.0,1.0,"Oda,  Eiichiro",0,0
"one piece, tome 68 : alliance entre pirates",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,65.0,75.0,1.0,"Oda,  Eiichiro",0,0
oohiohioo !,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,80.0,49.0,1.0,"Didier,  Anne",0,0
ordesa,0.0,0.0,0.0,,,0.0,2019.0,Prix Femina étranger,1.0,,,,0.0,Manuel Vilas,0,0
otages,0.0,0.0,0.0,,,0.0,2020.0,Prix Anaïs-Nin,1.0,,,,0.0,Nina Bouraoui,1,4
over the rainbow,0.0,0.0,0.0,,,0.0,2021.0,Prix Orange du Livre,1.0,,,,0.0,Constance Joly,0,0
où donc est le bonheur,0.0,0.0,0.0,,,0.0,2022.0,Prix France Télévisions,1.0,,,,0.0,Marianne Chaillan,0,0
pagny par florent,1.0,1.0,0.0,,Histoire vraie,1.0,,,0.0,,,,0.0,Florent Pagny,0,0
panorama,0.0,0.0,0.0,,,0.0,2023.0,Prix Renaudot des lycéens,1.0,,,,0.0,Lilia Hassaine,1,2
papa,0.0,0.0,0.0,,Albums,1.0,,,0.0,,,,0.0,Hélène Delforge et Quentin Gréban,1,61
par les routes,0.0,0.0,0.0,,,0.0,2019.0,Prix Femina,1.0,,,,0.0,Sylvain Prudhomme,1,1
par-delà la magie : confessions d'un sorcier,0.0,0.0,0.0,,Histoire vraie,1.0,,,0.0,,,,0.0,Tom Felton,0,0
partout les autres,0.0,0.0,0.0,,,0.0,2023.0,Prix Goncourt de la nouvelle,1.0,,,,0.0,David Thomas,0,0
patte blanche,0.0,0.0,0.0,,,0.0,2023.0,Prix Françoise-Sagan,1.0,,,,0.0,Kinga Wyrzykowska,0,0
paul morand,0.0,0.0,0.0,,,0.0,2021.0,Prix Goncourt de la biographie,1.0,,,,0.0,Pauline Dreyfus,0,0
performance,0.0,0.0,0.0,,,0.0,2022.0,Prix Renaudot,1.0,,,,0.0,Simon Liberati,1,18
plus jamais sans moi,1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,Maud Ankaoua,0,0
pouilles,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,64.0,76.0,1.0,,0,0
pour exister encore,0.0,0.0,0.0,,,0.0,2021.0,Grand prix Roman de l'été de Femme Actuelle,1.0,,,,0.0,Martine Duchesne,0,0
premier sang,0.0,0.0,0.0,,,0.0,2021.0,Prix Renaudot,1.0,,,,0.0,Amélie Nothomb,0,0
"proust, roman familial",0.0,0.0,0.0,,,0.0,2023.0,Prix Médicis essai,1.0,,,,0.0,Laure Murat,0,0
psychopompe,1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,Amélie Nothomb,0,0
quand l'arbre tombe,0.0,0.0,0.0,,,0.0,2022.0,Prix Terre de France,1.0,,,,0.0,Oriane Jeancourt Galignani,0,0
quand la nuit tombe,0.0,0.0,0.0,,Manga,1.0,,,0.0,,,,0.0,Rie Aruga,0,0
quand tu écouteras cette chanson,0.0,0.0,0.0,,,0.0,2022.0,Prix Décembre,1.0,,,,0.0,Lola Lafon,0,0
que notre joie demeure,0.0,0.0,0.0,,,0.0,2023.0,Prix Médicis,1.0,,,,0.0,Kevin Lambert,0,0
que sur toi se lamente le tigre,0.0,0.0,0.0,,,0.0,2021.0,Prix Goncourt du premier roman,1.0,,,,0.0,Emilienne Malfatto,0,0
quelques gouttes de thé,0.0,0.0,0.0,,,0.0,2020.0,Prix Rosny aîné « Nouvelle »,1.0,,,,0.0,Audrey Pleynet,0,0
rhapsodie des oubliés,0.0,0.0,0.0,,,0.0,2019.0,Prix de Flore,1.0,,,,0.0,Sofia Aouine,0,0
rhapsodie rouge,0.0,0.0,0.0,,,0.0,2022.0,Prix Heredia,1.0,,,,0.0,Jean D'Amérique,0,0
rien n'est noir,0.0,0.0,0.0,,,0.0,2020.0,Grand prix des lectrices de Elle,1.0,,,,0.0,Claire Berest,0,0
roches de sang,0.0,0.0,0.0,,Policier,1.0,,,0.0,,,,0.0,Olivier Bal,0,0
roman fleuve,0.0,0.0,0.0,,,0.0,2022.0,Prix Interallié,1.0,,,,0.0,Philibert Humm,0,0
rouge karma,1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Jean-Christophe Grangé,0,0
"russian mafia, tome 1",0.0,0.0,0.0,,Romance,1.0,,,0.0,,,,0.0,Emma Bardiau,0,0
réacteur 3,0.0,0.0,0.0,,,0.0,2022.0,Grand Prix de Poésie de la SGDL,1.0,,,,0.0,Ludovic Bernhardt,0,0
réinventer l'amour : comment le patriarcat sabote les relations hétérosexuelles,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,522.0,2.0,1.0,"Chollet,  Mona",0,0
révolution,0.0,0.0,0.0,,,0.0,2020.0,Fauve d'or : prix du meilleur album,1.0,,,,0.0,Florent Grouazel,1,30
s'adapter,0.0,0.0,0.0,,,0.0,2021.0,Prix Femina,1.0,,,,0.0,Clara Dupont-Monod,1,9
sa préférée,0.0,0.0,0.0,,,0.0,2022.0,Prix du roman Fnac,1.0,,,,0.0,Sarah Jollien-Fardel,1,1
sabre,0.0,0.0,0.0,,,0.0,2021.0,Prix des Deux Magots,1.0,,,,0.0,Emmanuel Ruben,1,7
sang d'écume,0.0,0.0,0.0,,Fantastique,1.0,,,0.0,,,,0.0,Magali Lefebvre,0,0
sapiens : une brève histoire de l'humanité,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,115.0,26.0,1.0,"Harari,  Yuval Noah",0,0
"seasons, tome 1 : un automne pour te pardonner",1.0,1.0,1.0,11.0,,0.0,,,0.0,,,,0.0,Morgane Moncomble,0,0
"sentinelles du royaume sauvage, tome 1",0.0,0.0,0.0,,Jeunesse,1.0,,,0.0,,,,0.0,Alexandra Ott,0,0
"seule la mort attend la vilaine, tome 1",0.0,0.0,0.0,,Manga,1.0,,,0.0,,,,0.0,Suol et  Gwon Gyeoeul,0,0
si seulement...,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,69.0,63.0,1.0,"Dequier,  Bruno",0,0
soleil amer,0.0,0.0,0.0,,,0.0,2022.0,Prix littéraire de la Ville de Caen,1.0,,,,0.0,Lilia Hassaine,0,0
"solo leveling, tome 11",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Chugong, Dubu",0,0
"solo leveling, tome 3",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,58.0,84.0,1.0,Chugong,0,0
"solo leveling, tome 5",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,68.0,66.0,1.0,Chugong,0,0
sommeil de l’ange,0.0,0.0,0.0,,,0.0,2023.0,Prix Heredia,1.0,,,,0.0,Marie Étienne,0,0
son odeur après la pluie,1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,Cédric Sapin-Dufour,0,0
sous un ciel d'azur,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,69.0,61.0,1.0,"Horikoshi,  K?hei",0,0
stray dogs,0.0,0.0,0.0,,Comics,1.0,,,0.0,,,,0.0,Tony Fleecs et Trish Forstner,0,0
sur l'épaule des géants,0.0,0.0,0.0,,,0.0,2023.0,Prix Alexandre-Vialatte,1.0,,,,0.0,Laurine Roux,0,0
sur la dalle,0.0,0.0,1.0,14.0,,0.0,,,0.0,,,,0.0,Fred Vargas,0,0
sur tes traces,0.0,0.0,0.0,,Policier,1.0,,,0.0,,,,0.0,Harlan Coben,0,0
"swan song, tome 1 : le feu et la glace",0.0,0.0,0.0,,Fantastique,1.0,,,0.0,,,,0.0,Robert McCammon,0,0
tant que fleuriront les citronniers,0.0,0.0,0.0,,Young adult,1.0,,,0.0,,,,0.0,Zoulfa Katouh,0,0
tant que le café est encore chaud,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,130.0,23.0,1.0,"Kawaguchi,  Toshikazu",0,0
tenir sa langue,0.0,0.0,0.0,,,0.0,2022.0,Prix Femina des lycéens,1.0,,,,0.0,Polina Panassenko,1,1
terra ignota,0.0,0.0,0.0,,,0.0,2023.0,Ada Palmer,1.0,,,,0.0,Ada Palmer,0,0
"the devil’s sons, tome 2",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Chloé Wallerand,0,0
"the nice house on the lake, tome 1",0.0,0.0,0.0,,Comics,1.0,,,0.0,,,,0.0,"James Tynion IV, Alvaro Martinez Bueno et Jordie Bellaire",0,0
"the promised neverland, tome 1",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée adulte,66.0,71.0,1.0,"Shirai,  Kaiu",0,0
"the promised neverland, tome 13",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,73.0,54.0,1.0,"Shirai,  Kaiu",0,0
"the promised neverland, tome 14",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée adulte,84.0,46.0,1.0,"Shirai,  Kaiu",0,0
"the promised neverland, tome 8",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée ado,84.0,45.0,1.0,"Shirai,  Kaiu",0,0
tiens bon !!,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,104.0,29.0,1.0,"Oda,  Eiichiro",0,0
tombeaux,0.0,0.0,0.0,,,0.0,2022.0,Prix Femina essai,1.0,,,,0.0,Annette Wieviorka,1,2
ton absence n'est que ténèbres,0.0,0.0,0.0,,,0.0,,,1.0,Livre adulte,367.0,6.0,1.0,Jón Kalman Stefánsson,0,0
tous les hommes n'habitent pas le monde de la même façon,0.0,0.0,0.0,,,0.0,2019.0,Prix Goncourt,1.0,,,,0.0,Jean-Paul Dubois,0,0
tous nos battements de coeur,0.0,0.0,0.0,,Romance,1.0,,,0.0,,,,0.0,Erika Boyer,0,0
tout comprendre (ou presque) sur le climat,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,56.0,86.0,1.0,BonPote,0,0
"traverser l’invisible, énigmes figuratives de francesca woodman et vivian maier",0.0,0.0,0.0,,,0.0,2022.0,"Prix André-Malraux, catégorie essai sur l'art",1.0,,,,0.0,Francesca Woodman,0,0
triste tigre,1.0,1.0,1.0,22.0,,0.0,2023.0,Prix Femina,1.0,,,,0.0,Neige Sinno,0,0
triste tigre,1.0,1.0,1.0,22.0,,0.0,2023.0,Prix littéraire du Monde,1.0,,,,0.0,Neige Sinno,0,0
"trois battements, un silence",0.0,0.0,0.0,,Fantastique,1.0,,,0.0,,,,0.0,Anne Fakhouri,0,0
trois vies par semaine,1.0,0.0,1.0,16.0,,0.0,,,0.0,,,,0.0,Michel Bussi,0,0
trop la classe !,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,60.0,80.0,1.0,"Didier,  Anne",0,0
tueurs,0.0,0.0,0.0,,,0.0,2023.0,Grand Prix de Poésie de la SGDL,1.0,,,,0.0,Jean-Michel Espitallier,1,1
"twisted, tome 1 : twisted love",1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,Ana Huang,0,0
un abri de fortune,0.0,0.0,1.0,17.0,,0.0,,,0.0,,,,0.0,Agnès Ledig,0,0
un automne de flaubert,0.0,0.0,0.0,,,0.0,2020.0,Prix François-Mauriac,1.0,,,,0.0,Alexandre Postel,0,0
un chien à ma table,0.0,0.0,0.0,,,0.0,2022.0,Prix Femina,1.0,,,,0.0,Claudie Hunzinger,0,0
un crime sans importance,0.0,0.0,0.0,,,0.0,2020.0,Prix Interallié,1.0,,,,0.0,Irène Frain,0,0
un hiver chez bleuet,0.0,0.0,0.0,,Albums,1.0,,,0.0,,,,0.0,Heegyum Kim,0,0
un jour ce sera vide,0.0,0.0,0.0,,,0.0,2021.0,Prix du Livre Inter,1.0,,,,0.0,Hugo Lindenberg,0,0
un jour de nuit tombée,0.0,0.0,0.0,,Fantasy,1.0,,,0.0,,,,0.0,Samantha Shannon,0,0
un miracle,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,70.0,60.0,1.0,"Mas,  Victoria",1,5
"un monstre est là, derrière la porte",0.0,0.0,0.0,,,0.0,2020.0,Grand prix du roman métis,1.0,,,,0.0,Gaëlle Bélem,0,0
un oeil dans la nuit,1.0,0.0,1.0,18.0,,0.0,,,0.0,,,,0.0,Bernard Minier,0,0
un promeneur solitaire dans la foule,0.0,0.0,0.0,,,0.0,2020.0,Prix Médicis étranger,1.0,,,,0.0,Antonio Munoz Molina,0,0
un étranger nommé picasso,0.0,0.0,0.0,,,0.0,2021.0,Prix Femina essai,1.0,,,,0.0,Annie Cohen-Solal,0,0
underground airlines,0.0,0.0,0.0,,,0.0,2019.0,Grand prix de l'Imaginaire,1.0,,,,0.0,Patrick K. Dewdney,0,0
une belle vie,1.0,1.0,1.0,5.0,Contemporain,1.0,,,0.0,,,,0.0,Virginie Grimaldi,1,2
une bête au paradis,0.0,0.0,0.0,,,0.0,2019.0,Prix littéraire du Monde,1.0,,,,0.0,Cécile Coulon,0,0
une façon d'aimer,0.0,0.0,0.0,,,0.0,2023.0,Grand prix du roman de l'Académie française,1.0,,,,0.0,Dominique Barbéris,0,0
"une jeunesse au moyen-orient, 1992-1994",0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée adulte,510.0,4.0,1.0,"Sattouf,  Riad",0,0
une longue nuit mexicaine,0.0,0.0,0.0,,,0.0,2019.0,Prix Fénéon,1.0,,,,0.0,Isabelle Mayault,0,0
une saison pour les ombres,0.0,0.0,0.0,,Thriller,1.0,,,0.0,,,,0.0,R. J. Ellory,0,0
une vie de soleil,0.0,0.0,0.0,,,0.0,2019.0,Prix de l'Académie française Maurice-Genevoix,1.0,,,,0.0,Jean-Marie Planes,0,0
une vieille histoire. nouvelle version,0.0,0.0,0.0,,,0.0,2019.0,Prix Renaudot du livre de poche,1.0,,,,0.0,Jonathan Littell,0,0
veiller sur elle,1.0,1.0,1.0,2.0,,0.0,2023.0,Prix Goncourt,1.0,,,,0.0,Jean-Baptiste Andrea,0,0
"vernon subutex, tome 1",0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,73.0,55.0,1.0,"Despentes,  Virginie",0,0
vers la violence,0.0,0.0,0.0,,,0.0,2023.0,Grand prix des lectrices de Elle,1.0,,,,0.0,Blandine Rinkel,0,0
visa transit,0.0,0.0,0.0,,,0.0,2020.0,Prix Amerigo-Vespucci de la BD géographique,1.0,,,,0.0,Nicolas de Crécy,0,0
"visions de goya, l’éclat dans le désastre",0.0,0.0,0.0,,,0.0,2019.0,"Prix André-Malraux, catégorie essai sur l'art",1.0,,,,0.0,Stéphane Lambert,0,0
vita nostra,0.0,0.0,0.0,,,0.0,2020.0,Marina Diatchenko,1.0,,,,0.0,Sergueï Diatchenko,0,0
vivonne,0.0,0.0,0.0,,,0.0,2022.0,Grand prix de l'Imaginaire,1.0,,,,0.0,Jérôme Leroy,1,1
vivre avec nos morts,0.0,0.0,0.0,,,0.0,2022.0,Prix Renaudot du livre de poche,1.0,,,,0.0,Delphine Horvilleur,0,0
vivre avec nos morts : petit traité de consolation,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,345.0,7.0,1.0,"Horvilleur,  Delphine",0,0
vivre vite,0.0,0.0,0.0,,,0.0,2022.0,Prix Goncourt,1.0,,,,0.0,Philippe Besson,0,0
western,0.0,0.0,0.0,,,0.0,2023.0,Prix de Flore,1.0,,,,0.0,Maria Pourchet,1,3
wonder woman historia : the amazons,0.0,0.0,0.0,,Comics,1.0,,,0.0,,,,0.0,"Kelly Sue Deconnick, Phil Jimenez, Gene Ha et Nicola Scott",0,0
wonka,0.0,0.0,0.0,,Jeunesse,1.0,,,0.0,,,,0.0,Sibéal Pounder,0,0
zaï zaï zaï zaï,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée adulte,168.0,16.0,1.0,Fabcaro,0,0
zita,0.0,0.0,0.0,,,0.0,2022.0,Prix François-Mauriac,1.0,,,,0.0,Olivier Hercend,0,0
"à contre-sens, tome 1 et tome 2",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,Mercedes Ron,0,0
à la ligne,0.0,0.0,0.0,,,0.0,2019.0,Prix du roman populiste,1.0,,,,0.0,Joseph Ponthus,1,2
à l’abri des hommes et des choses,0.0,0.0,0.0,,,0.0,2023.0,Prix François-Mauriac,1.0,,,,0.0,Stéphanie Boulay,0,0
à ma sœur et unique,0.0,0.0,0.0,,,0.0,2023.0,Prix des Deux Magots,1.0,,,,0.0,Guy Boley,0,0
à tout jamais,1.0,1.0,1.0,3.0,,0.0,,,0.0,,,,0.0,Colleen Hoover,1,12
à un souffle du passé,0.0,0.0,0.0,,Historique,1.0,,,0.0,,,,0.0,Patti Callahan Henry,0,0
âme brisée,0.0,0.0,0.0,,,0.0,2020.0,Prix des libraires,1.0,,,,0.0,Akira Mizubayashi,0,0
"écarlate sous la cendre, tome 1",0.0,0.0,0.0,,Young adult,1.0,,,0.0,,,,0.0,Élisabeth Koshava,0,0
"écoute, jolie marcia",0.0,0.0,0.0,,,0.0,2022.0,Fauve d'or : prix du meilleur album,1.0,,,,0.0,Marcello Quintanilha,0,0
écuyère,0.0,0.0,0.0,,Comics,1.0,,,0.0,,,,0.0,Nadia Shammas et Sara Alfageeh,0,0
